id,category,source,scope,evidence_class,status,notes
SV-OFF-JP-NEWS,official-jp,https://www.pokemon.co.jp/ex/sv/ja/news/,official Japanese SV news archive,Official primary,active-sweep,"Archive index for launch-era news, features, updates, distributions and campaigns"
SV-OFF-JP-PORTAL,official-jp,https://sv-news.pokemon.co.jp/ja/,Poké Portal news archive,Official primary,active-sweep,"Raid events, mass outbreaks, Mystery Gifts, regulations, competitions, notices"
SV-OFF-JP-DLC,official-jp,https://www.pokemon.co.jp/ex/sv_dlc/ja/news/,Hidden Treasure of Area Zero archive,Official primary,active-sweep,"Teal Mask, Indigo Disk, DLC news and related features"
SV-OFF-JP-TERASTAL,official-jp,https://www.pokemon.co.jp/ex/sv/ja/features/220803_06/,Terastal system,Official primary,checked,"Baseline system description"
SV-OFF-JP-OUTBREAK,official-jp,https://www.pokemon.co.jp/ex/sv/ja/features/230808_01/,event mass outbreak system,Official primary,checked,"Explains event outbreak requirements and portal news dependency"
SV-OFF-JP-UPDATE-LAUNCH,official-jp,https://www.pokemon.co.jp/ex/sv/ja/news/221108_05/,launch update Ver.1.0.1 and online features,Official primary,checked,"Launch-era update and early purchase Pikachu"
SV-OFF-JP-REG-A,official-jp,https://sv-news.pokemon.co.jp/ja/page/6.html,Regulation A,Official primary,checked,"Ranked battle regulation baseline"
SV-OFF-JP-REG-B,official-jp,https://sv-news.pokemon.co.jp/ja/page/36.html,Regulation B,Official primary,checked,"Ranked battle regulation"
SV-OFF-JP-REG-C,official-jp,https://sv-news.pokemon.co.jp/ja/page/48.html,Regulation C,Official primary,checked,"Ranked battle regulation"
SV-OFF-JP-REG-D,official-jp,https://sv-news.pokemon.co.jp/ja/page/109.html,Regulation D,Official primary,checked,"Adds HOME-origin eligible Pokémon axis"
SV-OFF-JP-REG-E,official-jp,https://sv-news.pokemon.co.jp/ja/page/129.html,Regulation E,Official primary,checked,"Teal Mask-era ranked battle rules"
SV-OFF-JP-REG-F,official-jp,https://sv-news.pokemon.co.jp/ja/page/166.html,Regulation F,Official primary,checked,"Ranked battle regulation with HOME/DLC eligible Pokémon"
SV-OFF-JP-REG-G,official-jp,https://sv-news.pokemon.co.jp/ja/page/295.html,Regulation G,Official primary,checked,"Restricted Legendary allowance rules"
SV-OFF-JP-REG-H,official-jp,https://sv-news.pokemon.co.jp/ja/page/245.html,Regulation H,Official primary,checked,"Ranked battle regulation"
SV-OFF-JP-REG-I,official-jp,https://sv-news.pokemon.co.jp/ja/page/444.html,Regulation I,Official primary,checked,"Final-era rules; two restricted special Pokémon permitted"
SV-OFF-JP-REG-J,official-jp,https://sv-news.pokemon.co.jp/ja/page/382.html,Regulation J,Official primary,checked,"2025-09 through 2026-01 ranked battle regulation"
SV-OFF-JP-FINAL-SEASON,official-jp,https://sv-news.pokemon.co.jp/ja/page/389.html,final ranked battle season policy,Official primary,checked,"Season 41 continues until service end using Regulation I"
SV-OFF-JP-PJCS25,official-jp,https://sv-news.pokemon.co.jp/ja/page/313.html,PJCS2025 game division,Official primary,checked,"Japan-only qualification details and region setting implications"
SV-OFF-JP-GIFT-COVERS,official-jp,https://sv-news.pokemon.co.jp/ja/page/319.html,Scarlet/Violet cover Mystery Gifts,Official primary,checked,"Version-specific gift passwords"
SV-OFF-JP-RAID-WWIL,official-jp,https://sv-news.pokemon.co.jp/ja/page/402.html,Walking Wake/Iron Leaves raid rerun,Official primary,checked,"Version-exclusive limited raid"
SV-OFF-JP-RAID-DP,official-jp,https://sv-news.pokemon.co.jp/ja/page/152.html,Dialga/Palkia event raid,Official primary,checked,"Version-exclusive limited raid"
SV-OFF-JP-OUTBREAK-202401,official-jp,https://sv-news.pokemon.co.jp/ja/page/179.html,January 2024 version-exclusive mass outbreak,Official primary,checked,"Gulpin/Stunky/Skrelp/Clauncher with mark-rate differences"
SV-OFF-JP-OUTBREAK-XVER,official-jp,https://sv-news.pokemon.co.jp/ja/page/260.html,cross-version event mass outbreak,Official primary,checked,"Paldea/Kitakami/Blueberry outbreak coverage"
SV-OFF-KR-DLC-HUB,official-kr,https://pokemonkorea.co.kr/sv_dlc,Korean Hidden Treasure of Area Zero hub,Official primary,active-sweep,"Korean DLC news archive including epilogue and version-specific DLC product information"
SV-OFF-KR-DLC-PURCHASE,official-kr,https://pokemonkorea.co.kr/sv_dlc/menu267?mode=view&number=2829,Korean DLC purchase/version compatibility notice,Official primary,checked,"States Scarlet/Violet DLC packages are version-specific and in-game purchase requires Ver.1.2.0+"
SV-OFF-KR-EPILOGUE,official-kr,https://pokemonkorea.co.kr/sv_dlc/menu267?mode=view&number=3288,Korean epilogue distribution and Mythical Pecha Berry requirements,Official primary,checked,"Documents Mystery Gift item and completion prerequisites"
SV-OFF-KR-GIFT-LIKO,official-kr,https://pokemonkorea.co.kr/news/2/14297,Liko Sprigatito Korean distribution notice,Official primary,checked,"Password distribution; Korean expiry wording/time"
SV-OFF-KR-GIFT-DOT,official-kr,https://pokemonkorea.co.kr/news/5/14539,Dot Quaxly Korean distribution notice,Official primary,checked,"Password distribution; Korean expiry wording/time"
SV-OFF-KR-GIFT-ROY,official-kr,https://www.pokemonkorea.co.kr/news/5/14723,Roy Fuecoco Korean distribution notice,Official primary,checked,"Korean distribution constraints and HOME trade restrictions"
SV-OFF-US-UPDATES,official-us,https://en-americas-support.nintendo.com/app/answers/detail/a_id/60277,complete Nintendo US update history,Official primary,checked,"Cross-region update date and wording comparison"
SV-OFF-US-RUIN-CHIEN,official-us,https://www.pokemon.com/us/pokemon-news/shiny-chien-pao-appears-in-5-star-tera-raid-battles-in-pokemon-scarlet-and-pokemon-violet,Shiny Chien-Pao global challenge and Mystery Gift,Official primary,checked,"North American PDT schedule and one-million-victory threshold"
SV-OFF-US-RUIN-TING,official-us,https://www.pokemon.com/us/pokemon-news/shiny-ting-lu-appears-in-5-star-tera-raid-battles-in-pokemon-scarlet-and-pokemon-violet,Shiny Ting-Lu global challenge and Mystery Gift,Official primary,checked,"North American PDT schedule"
SV-OFF-US-DONDOZO,official-us,https://www.pokemon.com/us/news/get-fishy-with-dondozo-and-tatsugiri-in-tera-raid-battles-and-mass-outbreaks,Dondozo/Tatsugiri seasonal raid and outbreak event,Official primary,checked,"Cross-region event wording and multi-map outbreak placement"
SV-OFF-UK-NEWS,official-uk,https://www.pokemon.com/uk/pokemon-news/,UK Pokémon news archive,Official primary,active-sweep,"Regional official archive for SV events distributions and announcements"
SV-OFF-UK-RUIN-WO,official-uk,https://www.pokemon.com/uk/news/announcing-the-total-victories-against-shiny-wo-chien-in-pokemon-scarlet-and-pokemon-violet,Shiny Wo-Chien victory total and Mystery Gift,Official primary,checked,"UTC schedule for European regional comparison"
SV-OFF-UK-RUIN-CHIEN,official-uk,https://www.pokemon.com/uk/news/announcing-the-total-victories-against-shiny-chien-pao-in-pokemon-scarlet-and-pokemon-violet,Shiny Chien-Pao victory total and Mystery Gift,Official primary,checked,"UTC schedule for regional comparison"
